candidate_id,base_task_id,family,domain,action_type,issue_category,issue_severity,reason,proxy_only,blocks_c10,blocks_paper_use
compact20_cand_01,travel_planning_medium_000,tool_removal,travel_planning,human_review_required,answer_changing_policy,medium,"Tool removal can legitimately change the answer, so a human must verify the policy.",true,true,true
compact20_cand_02,file_spreadsheet_qa_medium_000,tool_removal,file_spreadsheet_qa,human_review_required,answer_changing_policy,medium,"Tool removal can legitimately change the answer, so a human must verify the policy.",true,true,true
compact20_cand_03,research_assistant_easy_000,tool_removal,research_assistant,human_review_required,answer_changing_policy,medium,"Tool removal can legitimately change the answer, so a human must verify the policy.",true,true,true
compact20_cand_04,coding_debugging_stress_000,tool_removal,coding_debugging,human_review_required,answer_changing_policy,medium,"Tool removal can legitimately change the answer, so a human must verify the policy.",true,true,true
compact20_cand_05,travel_planning_medium_001,tool_removal,travel_planning,human_review_required,answer_changing_policy,medium,"Tool removal can legitimately change the answer, so a human must verify the policy.",true,true,true
compact20_cand_06,travel_planning_medium_000,tool_failure,travel_planning,human_review_required,unclear_gold_policy,medium,"Metadata leaves the final-answer policy unclear, so manual review is needed.",true,true,true
compact20_cand_07,file_spreadsheet_qa_medium_000,tool_failure,file_spreadsheet_qa,human_review_required,unclear_gold_policy,medium,"Metadata leaves the final-answer policy unclear, so manual review is needed.",true,true,true
compact20_cand_08,research_assistant_easy_000,tool_failure,research_assistant,human_review_required,unclear_gold_policy,medium,"Metadata leaves the final-answer policy unclear, so manual review is needed.",true,true,true
compact20_cand_09,coding_debugging_stress_000,tool_failure,coding_debugging,human_review_required,unclear_gold_policy,medium,"Metadata leaves the final-answer policy unclear, so manual review is needed.",true,true,true
compact20_cand_10,travel_planning_medium_001,tool_failure,travel_planning,human_review_required,unclear_gold_policy,medium,"Metadata leaves the final-answer policy unclear, so manual review is needed.",true,true,true
compact20_cand_11,travel_planning_medium_000,memory_corruption,travel_planning,candidate_for_pipeline_testing_only,proxy_clean_candidate,low_proxy_only,Metadata says expected answer stays unchanged; still requires real human review.,true,true,true
compact20_cand_12,file_spreadsheet_qa_medium_000,memory_corruption,file_spreadsheet_qa,candidate_for_pipeline_testing_only,proxy_clean_candidate,low_proxy_only,Metadata says expected answer stays unchanged; still requires real human review.,true,true,true
compact20_cand_13,research_assistant_easy_000,memory_corruption,research_assistant,candidate_for_pipeline_testing_only,proxy_clean_candidate,low_proxy_only,Metadata says expected answer stays unchanged; still requires real human review.,true,true,true
compact20_cand_14,coding_debugging_stress_000,memory_corruption,coding_debugging,candidate_for_pipeline_testing_only,proxy_clean_candidate,low_proxy_only,Metadata says expected answer stays unchanged; still requires real human review.,true,true,true
compact20_cand_15,travel_planning_medium_001,memory_corruption,travel_planning,candidate_for_pipeline_testing_only,proxy_clean_candidate,low_proxy_only,Metadata says expected answer stays unchanged; still requires real human review.,true,true,true
compact20_cand_16,calendar_email_workflow_easy_000,observation_conflict,calendar_email_workflow,human_review_required,high_risk_conflict_policy,high,Observation conflicts are high-risk and need human policy resolution.,true,true,true
compact20_cand_17,shopping_comparison_easy_000,observation_conflict,shopping_comparison,human_review_required,high_risk_conflict_policy,high,Observation conflicts are high-risk and need human policy resolution.,true,true,true
compact20_cand_18,policy_compliance_hard_000,observation_conflict,policy_compliance,human_review_required,high_risk_conflict_policy,high,Observation conflicts are high-risk and need human policy resolution.,true,true,true
compact20_cand_19,operations_planning_medium_000,observation_conflict,operations_planning,human_review_required,high_risk_conflict_policy,high,Observation conflicts are high-risk and need human policy resolution.,true,true,true
compact20_cand_20,calendar_email_workflow_medium_001,observation_conflict,calendar_email_workflow,human_review_required,high_risk_conflict_policy,high,Observation conflicts are high-risk and need human policy resolution.,true,true,true
